init_type,sel_type,cross_type,mut_type,term_type,fitness_func,avg_fit_score,std_fit_score,max_fit_score,min_fit_score,avg_gens
gaussian,rws,2_parent_average,swap,convergence,spherical,0.03873242619701782,0.1228980208299721,0.8701420559867346,4.404654303660669e-09,26.7
uniform,tournament,2_parent_average,uniform,generations,booth,0.03880679582233438,0.06936802693727905,0.3493555366570126,1.597402612492642e-09,50.0
uniform,tournament,binary_mask,gaussian,generations,booth,0.03926042434349298,0.09351283942637237,0.8348693689493969,0.00025583531280557625,50.0
uniform,tournament,binary_mask,gaussian,generations,himmelblau,0.04009402597220731,0.0936582878870458,0.8715344924506518,0.00013975221713943888,50.0
gaussian,rws,binary_mask,uniform,generations,booth,0.040537702850977686,0.052859172005752866,0.2973537373457199,0.00011382679756751312,50.0
gaussian,tournament,two_point,uniform,generations,booth,0.041010097441820687,0.05055015867956628,0.21241025751484824,0.00010302092060708728,50.0
gaussian,rws,2_parent_average,gaussian,convergence,booth,0.04223749247782751,0.08427057744822641,0.5234263187533073,2.4759259436880396e-07,18.35
gaussian,tournament,2_parent_average,gaussian,convergence,booth,0.042971658237225624,0.08544410596613385,0.49864179983724294,2.937338712860711e-06,17.41
uniform,tournament,centroid,uniform,generations,booth,0.04319204915795704,0.08365533600063298,0.42446630703803734,2.138202442073062e-07,50.0
gaussian,rws,2_parent_average,uniform,convergence,booth,0.04331638567841112,0.08320816165593663,0.4933774364712391,7.111791342874192e-07,17.76
uniform,tournament,two_point,gaussian,generations,booth,0.049695321640864376,0.08657802735415346,0.5162426311949481,4.060396419711894e-05,50.0
gaussian,rws,centroid,uniform,convergence,booth,0.05175354443080216,0.08628714501539773,0.44156143446102203,1.2135408225836326e-06,17.77
uniform,tournament,binary_mask,uniform,generations,booth,0.05212721700881155,0.05821716085227506,0.26178349063745954,8.852527234682121e-05,50.0
gaussian,tournament,2_parent_average,swap,generations,spherical,0.0524661601800161,0.1352835106517264,0.7757054778089364,9.316166657475655e-13,50.0
gaussian,tournament,2_parent_average,uniform,convergence,booth,0.05325728806994616,0.0810215972638469,0.3721139348554121,8.467460360044496e-07,17.46
