init_type,sel_type,cross_type,mut_type,term_type,fitness_func,avg_fit_score,std_fit_score,max_fit_score,min_fit_score,avg_gens
uniform,tournament,2_parent_average,uniform,convergence,booth,0.05399523584750005,0.09503396427853536,0.5916894333997176,1.5420937427775468e-06,18.49
uniform,tournament,2_parent_average,uniform,generations,booth,0.05458922948927045,0.18643801279367342,1.692264558669931,1.0466624746901303e-08,30.0
gaussian,tournament,2_parent_average,uniform,generations,booth,0.05586182063033748,0.10182271619180829,0.7212254357143132,2.947584613383674e-09,30.0
gaussian,rws,centroid,uniform,generations,booth,0.05671735861511791,0.11151220208886255,0.7535840318834268,4.443504875471635e-06,30.0
uniform,tournament,centroid,gaussian,convergence,booth,0.05764492832693732,0.09713093967150908,0.5564178308325421,3.78834193126826e-09,19.6
uniform,tournament,2_parent_average,gaussian,generations,himmelblau,0.058340812699663284,0.10103749969558197,0.47212367783512577,1.9320413879424726e-06,30.0
gaussian,tournament,2_parent_average,uniform,convergence,booth,0.06226970317887039,0.09041203565555987,0.5128449815193409,3.054791827141655e-06,17.76
gaussian,rws,2_parent_average,gaussian,convergence,himmelblau,0.06327508589977926,0.08224515520310821,0.3609611714369343,2.9456942450007603e-05,24.92
uniform,rws,centroid,gaussian,convergence,booth,0.06635483568245171,0.11324047971111675,0.4956724624337906,1.2011264877373233e-05,20.49
gaussian,tournament,2_parent_average,gaussian,convergence,booth,0.06790941113893706,0.11376012755141665,0.5176512136104553,6.844556747242442e-07,18.3
uniform,rws,centroid,uniform,convergence,booth,0.0680340180396456,0.10693557860704582,0.5052391645891925,3.003179267404131e-06,19.32
gaussian,rws,centroid,gaussian,convergence,booth,0.06811490705051018,0.10444398140064715,0.5851628457722642,3.7206839446191807e-06,18.29
gaussian,tournament,centroid,uniform,convergence,booth,0.0691401235813681,0.10050407488865674,0.40696997572138616,8.363905889270959e-07,18.42
uniform,tournament,centroid,uniform,generations,booth,0.07036450505134684,0.11704177632245677,0.5687811366694175,2.628077257982908e-06,30.0
gaussian,tournament,two_point,gaussian,generations,booth,0.07037674965197335,0.11063544761835316,0.6925172263378594,0.0003336920486874694,30.0
gaussian,tournament,centroid,swap,generations,spherical,0.07130992307040877,0.23906745640340663,1.685990373429894,9.409767939243662e-14,30.0
uniform,rws,2_parent_average,uniform,generations,himmelblau,0.07132592118305117,0.1939791367592169,1.7616793654314764,3.2662368745010995e-07,30.0
gaussian,rws,2_parent_average,swap,convergence,spherical,0.07190066576934394,0.23717401799328333,1.8102811295619738,2.4192851561020625e-08,31.55
gaussian,rws,two_point,uniform,generations,booth,0.07340171457126145,0.09147957112914133,0.5036837229411294,0.0014507555902956955,30.0
gaussian,tournament,2_parent_average,gaussian,generations,himmelblau,0.07367759744153438,0.12838444362756204,0.7095492501796309,4.3591974494045345e-06,30.0
gaussian,rws,2_parent_average,gaussian,generations,himmelblau,0.07461625008308168,0.10763552274273666,0.5553829011039112,3.300352546185192e-05,30.0
uniform,tournament,2_parent_average,gaussian,convergence,himmelblau,0.0753976240882937,0.0975571423529222,0.37672407739666536,3.430659189374121e-06,20.4
uniform,tournament,2_parent_average,gaussian,convergence,booth,0.07587485194948707,0.10712270805774247,0.483209451082292,4.5433507795139573e-07,19.35
gaussian,rws,binary_mask,uniform,generations,booth,0.07764043526564632,0.12114614180002606,0.7936512413557715,0.00010911672780861821,30.0
uniform,tournament,centroid,uniform,convergence,booth,0.07770921255455893,0.1181578395191211,0.49155030611837197,2.1891837351880677e-06,19.2
uniform,rws,centroid,gaussian,generations,booth,0.07813569665255649,0.2656565371558932,2.2173937809846365,3.946523612918883e-06,30.0
uniform,tournament,2_parent_average,uniform,generations,himmelblau,0.07935010753244517,0.16173774840184726,0.944082291860942,7.68598634919852e-06,30.0
gaussian,tournament,binary_mask,uniform,generations,booth,0.07956940983210306,0.09342061896300265,0.5159446787581182,0.0008732025369682049,30.0
gaussian,tournament,centroid,gaussian,convergence,himmelblau,0.08105918217053201,0.1071815911525696,0.48540059607329916,9.89105699865919e-06,23.66
uniform,rws,2_parent_average,gaussian,convergence,himmelblau,0.0812502659412218,0.12017978636890496,0.5050424289744109,5.093218115012689e-06,20.84
gaussian,tournament,2_parent_average,gaussian,convergence,himmelblau,0.08173921952523573,0.11558996166872378,0.5147355354741621,4.639371066687432e-06,22.86
gaussian,rws,centroid,gaussian,convergence,himmelblau,0.08198288208395756,0.11133382616820389,0.5091715225836788,9.986613118307367e-07,25.91
gaussian,tournament,2_parent_average,swap,generations,spherical,0.08227048797093621,0.23754280874414355,1.4063646427896745,7.356571445058683e-10,30.0
gaussian,tournament,centroid,gaussian,generations,himmelblau,0.0831571906737581,0.205194913219576,1.792772420977538,1.8953790253981766e-05,30.0
gaussian,rws,2_parent_average,uniform,convergence,himmelblau,0.08347816675920744,0.1068613235003637,0.5118185335486248,3.947367997063319e-05,25.74
uniform,rws,2_parent_average,uniform,convergence,booth,0.084757973287415,0.1282710229841876,0.5537719364408269,1.9901702494991586e-06,19.59
gaussian,tournament,centroid,uniform,generations,booth,0.08537896684959659,0.15175025430056888,0.8188352961048593,3.088373597162609e-05,30.0
gaussian,rws,two_point,gaussian,convergence,booth,0.08640066723910796,0.10998695093648328,0.475369620089619,6.45669783934928e-05,18.9
uniform,tournament,two_point,gaussian,generations,himmelblau,0.08671469341821997,0.13747402286159338,0.78105671547012,0.0005840480984446557,30.0
uniform,rws,centroid,gaussian,convergence,himmelblau,0.0870422149558902,0.11618671593080945,0.5684499788481535,5.1323463102438155e-06,22.74
uniform,tournament,binary_mask,gaussian,generations,himmelblau,0.08715185925240897,0.10182320988765306,0.4465708770192286,0.0003936569221932116,30.0
uniform,rws,two_point,gaussian,convergence,booth,0.08785765034446018,0.11401323741089694,0.5737569458497084,0.00026307566487076005,23.96
uniform,rws,centroid,uniform,generations,himmelblau,0.08934289402715652,0.19798890209176848,1.598622173120113,2.759930066717564e-05,30.0
uniform,rws,centroid,uniform,generations,booth,0.09108496472239015,0.24855452388327046,1.822391243336305,5.086430882948948e-06,30.0
uniform,tournament,centroid,gaussian,generations,himmelblau,0.09210694520421857,0.17252702734729786,0.8366609581945657,1.1855550028034343e-07,30.0
uniform,tournament,centroid,gaussian,generations,booth,0.09262122914400876,0.17348663599528832,0.8389542919696295,3.776640544764754e-09,30.0
gaussian,tournament,binary_mask,gaussian,convergence,booth,0.09319566448367957,0.10416847958954085,0.3922655390068073,7.325238284803684e-05,19.36
uniform,rws,two_point,gaussian,generations,himmelblau,0.09340518374281898,0.12844314932824633,0.7574018739085577,0.0006156586978793059,30.0
uniform,tournament,2_parent_average,uniform,convergence,himmelblau,0.09463756568635294,0.11998245799562846,0.5093108480075932,0.0004928913954089292,22.12
gaussian,rws,centroid,uniform,convergence,himmelblau,0.094864661841161,0.11855461688884766,0.5088077312516923,0.00015409584548448273,26.27
gaussian,tournament,two_point,gaussian,convergence,booth,0.09772819624929888,0.11271186078742491,0.5063628107658714,8.674923693279929e-05,19.08
uniform,tournament,centroid,gaussian,convergence,himmelblau,0.10086400130470492,0.11503314211017465,0.5499254413549252,1.639526976263422e-05,20.38
uniform,rws,centroid,uniform,convergence,himmelblau,0.10122514861946119,0.11778991299498758,0.5088807725192228,2.7725718522096156e-06,22.72
gaussian,tournament,binary_mask,gaussian,generations,himmelblau,0.10137872341372535,0.1394803514510919,0.676729243779545,0.00027073872128193454,30.0
gaussian,rws,binary_mask,gaussian,convergence,booth,0.10207834473179668,0.11707464795515503,0.4913872196261205,0.00027438326121162227,19.55
uniform,rws,binary_mask,gaussian,convergence,booth,0.10427478359440145,0.1002038670525167,0.46114632784011816,0.0002695460398739265,25.59
uniform,rws,two_point,uniform,generations,booth,0.10943848061327759,0.18893091885308058,1.5865517716175364,8.95547611823477e-06,30.0
gaussian,tournament,2_parent_average,uniform,generations,himmelblau,0.11000730060013784,0.18129721449622307,0.9446797355330556,3.698273257531758e-05,30.0
gaussian,tournament,2_parent_average,uniform,convergence,himmelblau,0.11056976117846445,0.1333302091651769,0.5666396374489937,5.4661808927829056e-05,22.2
gaussian,rws,2_parent_average,uniform,generations,himmelblau,0.11138933407457065,0.22559843520760223,1.287677462376073,1.5528089044238774e-05,30.0
uniform,rws,binary_mask,gaussian,generations,himmelblau,0.11343632884065094,0.14899686420941693,0.807406148996274,0.0001278503999170889,30.0
